Weights:
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
Bias:
5.6, 5.6, 5.6, 5.6, 5.6, 5.6
